Time,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7
1/2/15 10:20:46 PM CST,,,,,,,1
1/3/15 7:32:10 AM CST,,,,,,,0
1/3/15 9:50:58 AM CST,,,1,1,,,
1/3/15 9:58:27 AM CST,,,0,0,,,
1/3/15 10:48:38 AM CST,,,1,1,,,
1/3/15 10:55:52 AM CST,,,0,0,,,
1/3/15 11:22:03 AM CST,,,1,1,,,
1/3/15 11:35:43 AM CST,,,0,0,,,
1/3/15 12:38:59 PM CST,,,1,1,,,
1/3/15 12:52:03 PM CST,,,,0,,,
1/3/15 12:52:04 PM CST,,,0,,,,
1/3/15 1:50:32 PM CST,,,1,1,,,
1/3/15 2:05:02 PM CST,,,0,0,,,
1/3/15 3:20:07 PM CST,,,1,1,,,
1/3/15 3:27:37 PM CST,,,0,0,,,
1/3/15 4:05:27 PM CST,,,1,1,,,
1/3/15 4:14:12 PM CST,,,0,0,,,
1/3/15 4:59:18 PM CST,,,1,1,,,
1/3/15 5:07:21 PM CST,,,0,0,,,
1/3/15 6:00:32 PM CST,,,1,1,,,
1/3/15 6:08:01 PM CST,,,0,0,,,
1/3/15 10:20:44 PM CST,,,,,,,1
1/4/15 7:32:11 AM CST,,,,,,,0
1/4/15 10:20:40 PM CST,,,,,,,1
1/5/15 7:32:08 AM CST,,,,,,,0
1/5/15 7:48:19 AM CST,,,1,1,,,
1/5/15 8:34:08 AM CST,,,0,0,,,
1/5/15 9:16:00 AM CST,,,1,1,,,
1/5/15 9:29:15 AM CST,,,0,0,,,
1/5/15 9:36:55 AM CST,,,1,1,,,
1/5/15 9:49:54 AM CST,,,0,0,,,
1/5/15 10:02:55 AM CST,,,1,1,,,
1/5/15 10:22:50 AM CST,,,0,0,,,
1/5/15 10:36:51 AM CST,,,1,1,,,
1/5/15 10:48:05 AM CST,,,0,0,,,
1/5/15 11:06:26 AM CST,,,1,1,,,
1/5/15 11:18:41 AM CST,,,0,0,,,
1/5/15 11:31:21 AM CST,,,1,1,,,
1/5/15 11:46:25 AM CST,,,0,0,,,
1/5/15 11:59:46 AM CST,,,1,1,,,
1/5/15 12:10:46 PM CST,,,0,0,,,
1/5/15 12:27:26 PM CST,,,1,1,,,
1/5/15 12:39:56 PM CST,,,0,0,,,
1/5/15 12:53:51 PM CST,,,1,1,,,
1/5/15 1:10:21 PM CST,,,0,0,,,
1/5/15 1:25:36 PM CST,,,1,1,,,
1/5/15 1:37:16 PM CST,,,0,0,,,
1/5/15 1:54:16 PM CST,,,1,1,,,
1/5/15 2:25:22 PM CST,,,0,0,,,
1/5/15 3:02:00 PM CST,,,1,1,,,
1/5/15 3:35:56 PM CST,,,0,0,,,
1/5/15 4:16:20 PM CST,,,1,1,,,
1/5/15 4:53:39 PM CST,,,0,0,,,
1/5/15 5:38:09 PM CST,,,1,1,,,
1/5/15 5:54:49 PM CST,,,0,0,,,
1/5/15 6:02:04 PM CST,,,1,1,,,
1/5/15 6:14:14 PM CST,,,0,0,,,
1/5/15 6:31:53 PM CST,,,1,1,,,
1/5/15 6:44:59 PM CST,,,0,0,,,
1/5/15 6:59:29 PM CST,,,1,1,,,
1/5/15 7:13:34 PM CST,,,0,0,,,
1/5/15 7:30:24 PM CST,,,1,1,,,
1/5/15 7:41:59 PM CST,,,0,0,,,
1/5/15 8:00:35 PM CST,,,1,1,,,
1/5/15 8:12:59 PM CST,,,0,0,,,
1/5/15 8:30:50 PM CST,,,1,1,,,
1/5/15 8:44:09 PM CST,,,0,0,,,
1/5/15 9:03:10 PM CST,,,1,1,,,
1/5/15 9:14:09 PM CST,,,0,0,,,
1/5/15 10:00:55 PM CST,,,1,1,,,
1/5/15 10:17:00 PM CST,,,0,0,,,
1/5/15 10:20:44 PM CST,,,,,,,1
1/6/15 7:32:08 AM CST,,,,,,,0
1/6/15 7:44:52 AM CST,,,,,1,1,
1/6/15 8:26:48 AM CST,,,,,0,0,
1/6/15 9:10:10 AM CST,,,,,1,1,
1/6/15 10:03:05 AM CST,,,,,0,0,
1/6/15 10:41:41 AM CST,,,,,1,1,
1/6/15 11:34:56 AM CST,,,,,0,0,
1/6/15 11:58:42 AM CST,,,,,1,1,
1/6/15 12:57:02 PM CST,,,,,0,0,
1/6/15 1:19:03 PM CST,,,,,1,1,
1/6/15 2:15:45 PM CST,,,,,0,0,
1/6/15 2:42:45 PM CST,,,,,1,1,
1/6/15 3:59:52 PM CST,,,,,0,0,
1/6/15 4:25:07 PM CST,,,,,1,1,
1/6/15 5:24:23 PM CST,,,,,0,0,
1/6/15 5:56:38 PM CST,,,,,1,1,
1/6/15 6:33:12 PM CST,,,,,0,0,
1/6/15 7:06:53 PM CST,,,,,1,1,
1/6/15 7:44:38 PM CST,,,,,0,0,
1/6/15 8:17:53 PM CST,,,,,1,1,
1/6/15 8:51:48 PM CST,,,,,0,0,
1/6/15 9:29:14 PM CST,,,,,1,1,
1/6/15 10:04:15 PM CST,,,,,0,0,
1/6/15 10:20:40 PM CST,,,,,,,1
1/7/15 7:32:08 AM CST,,,,,,,0
1/7/15 8:41:39 AM CST,,,1,1,,,
1/7/15 9:08:54 AM CST,,,0,0,,,
1/7/15 9:51:35 AM CST,,,1,1,,,
1/7/15 10:16:49 AM CST,,,0,0,,,
1/7/15 10:59:30 AM CST,,,1,1,,,
1/7/15 11:31:06 AM CST,,,0,0,,,
1/7/15 12:23:30 PM CST,,,1,1,,,
1/7/15 12:52:20 PM CST,,,0,0,,,
1/7/15 1:44:21 PM CST,,,1,1,,,
1/7/15 1:57:05 PM CST,,,0,0,,,
1/7/15 2:09:15 PM CST,,,1,1,,,
1/7/15 2:21:40 PM CST,,,0,0,,,
1/7/15 3:04:51 PM CST,,,1,1,,,
1/7/15 3:16:36 PM CST,,,0,0,,,
1/7/15 3:33:11 PM CST,,,1,1,,,
1/7/15 3:42:41 PM CST,,,0,0,,,
1/7/15 4:00:07 PM CST,,,1,1,,,
1/7/15 4:08:53 PM CST,,,0,0,,,
1/7/15 4:27:03 PM CST,,,1,1,,,
1/7/15 4:43:07 PM CST,,,0,0,,,
1/7/15 5:31:43 PM CST,,,1,1,,,
1/7/15 5:42:58 PM CST,,,0,0,,,
1/7/15 6:25:41 PM CST,,,1,1,,,
1/7/15 6:36:15 PM CST,,,0,0,,,
1/7/15 7:20:56 PM CST,,,1,1,,,
1/7/15 7:31:01 PM CST,,,0,0,,,
1/7/15 8:21:16 PM CST,,,1,1,,,
1/7/15 8:30:31 PM CST,,,0,0,,,
1/7/15 9:27:12 PM CST,,,1,1,,,
1/7/15 9:35:02 PM CST,,,0,0,,,
1/7/15 10:20:41 PM CST,,,,,,,1
1/8/15 7:32:10 AM CST,,,,,,,0
1/8/15 11:01:02 AM CST,,,,,1,1,
1/8/15 11:07:51 AM CST,,,,,0,0,
1/8/15 11:25:46 AM CST,,,,,1,1,
1/8/15 11:40:01 AM CST,,,,,0,0,
1/8/15 12:38:31 PM CST,,,,,1,1,
1/8/15 12:53:41 PM CST,,,,,0,0,
1/8/15 1:52:06 PM CST,,,,,1,1,
1/8/15 2:08:40 PM CST,,,,,0,0,
1/8/15 3:11:56 PM CST,,,,,1,1,
1/8/15 3:28:31 PM CST,,,,,0,0,
1/8/15 4:28:08 PM CST,,,,,1,1,
1/8/15 4:43:12 PM CST,,,,,0,0,
1/8/15 6:04:44 PM CST,,,,,1,1,
1/8/15 6:14:29 PM CST,,,,,0,0,
1/8/15 7:29:01 PM CST,,,,,1,1,
1/8/15 7:37:50 PM CST,,,,,0,0,
1/8/15 8:55:11 PM CST,,,,,1,1,
1/8/15 9:03:26 PM CST,,,,,0,0,
1/8/15 10:20:37 PM CST,,,,,,,1
1/9/15 7:32:15 AM CST,,,,,,,0
1/9/15 11:16:02 AM CST,,,1,1,,,
1/9/15 11:26:52 AM CST,,,0,0,,,
1/9/15 12:09:28 PM CST,,,1,1,,,
1/9/15 12:29:37 PM CST,,,0,0,,,
1/9/15 1:27:32 PM CST,,,1,1,,,
1/9/15 1:44:27 PM CST,,,0,0,,,
1/9/15 2:43:33 PM CST,,,1,1,,,
1/9/15 3:00:38 PM CST,,,0,0,,,
1/9/15 4:02:16 PM CST,,,1,1,,,
1/9/15 4:20:55 PM CST,,,0,0,,,
1/9/15 5:29:20 PM CST,,,1,1,,,
1/9/15 5:47:26 PM CST,,,0,0,,,
1/9/15 7:55:06 PM CST,,,1,1,,,
1/9/15 8:03:01 PM CST,,,0,0,,,
1/9/15 8:59:51 PM CST,,,1,1,,,
1/9/15 9:06:51 PM CST,,,0,0,,,
1/9/15 10:20:40 PM CST,,,,,,,1
1/10/15 7:32:13 AM CST,,,,,,,0
1/10/15 11:22:10 AM CST,,,,,1,1,
1/10/15 11:29:35 AM CST,,,,,0,0,
1/10/15 12:09:51 PM CST,,,,,1,1,
1/10/15 12:17:20 PM CST,,,,,0,0,
1/10/15 12:52:07 PM CST,,,,,1,1,
1/10/15 1:02:32 PM CST,,,,,0,0,
1/10/15 1:46:52 PM CST,,,,,1,1,
1/10/15 1:54:11 PM CST,,,,,0,,
1/10/15 1:54:12 PM CST,,,,,,0,
1/10/15 2:13:57 PM CST,,,,,1,1,
1/10/15 2:25:32 PM CST,,,,,0,0,
1/10/15 3:27:17 PM CST,,,,,1,1,
1/10/15 3:41:07 PM CST,,,,,0,0,
1/10/15 3:52:38 PM CST,,,,,1,1,
1/10/15 4:00:28 PM CST,,,,,0,0,
1/10/15 5:03:13 PM CST,,,,,1,1,
1/10/15 5:11:08 PM CST,,,,,0,0,
1/10/15 5:49:33 PM CST,,,,,1,1,
1/10/15 5:57:13 PM CST,,,,,0,0,
1/10/15 6:37:49 PM CST,,,,,1,1,
1/10/15 6:45:28 PM CST,,,,,0,0,
1/10/15 10:20:43 PM CST,,,,,,,1
1/11/15 7:32:12 AM CST,,,,,,,0
1/11/15 10:20:47 PM CST,,,,,,,1
1/11/15 11:07:33 PM CST,,,,,,,0
1/12/15 10:30:10 AM CST,,,,,1,1,
1/12/15 10:37:09 AM CST,,,,,0,0,
1/13/15 11:56:29 PM CST,,,,,,,1
1/14/15 1:06:12 AM CST,,,,,,,0
1/14/15 2:58:24 PM CST,,,,,,,1
1/14/15 2:59:55 PM CST,,,,,1,1,
1/14/15 3:06:00 PM CST,,,,,0,0,
1/14/15 3:08:03 PM CST,,,,,,,0
1/14/15 3:57:55 PM CST,,,,,1,1,
1/14/15 4:12:15 PM CST,,,,,0,0,
1/14/15 5:22:40 PM CST,,,,,1,1,
1/14/15 5:35:40 PM CST,,,,,0,0,
1/14/15 10:20:40 PM CST,,,,,,,1
1/15/15 1:25:43 AM CST,,,,,,,0
1/15/15 10:34:46 AM CST,,,1,1,,,
1/15/15 10:41:51 AM CST,,,0,0,,,
1/15/15 11:19:01 AM CST,,,1,1,,,
1/15/15 11:34:20 AM CST,,,0,0,,,
1/15/15 12:25:46 PM CST,,,1,1,,,
1/15/15 12:43:21 PM CST,,,0,0,,,
1/15/15 1:40:37 PM CST,,,1,1,,,
1/15/15 2:01:19 PM CST,,,0,0,,,
1/15/15 2:53:10 PM CST,,,1,1,,,
1/15/15 3:16:05 PM CST,,,0,0,,,
1/15/15 4:18:11 PM CST,,,1,1,,,
1/15/15 4:39:36 PM CST,,,0,0,,,
1/15/15 5:38:56 PM CST,,,1,1,,,
1/15/15 5:58:15 PM CST,,,0,0,,,
1/15/15 7:24:52 PM CST,,,1,1,,,
1/15/15 7:32:47 PM CST,,,0,0,,,
1/15/15 8:22:24 PM CST,,,1,1,,,
1/15/15 8:30:09 PM CST,,,0,0,,,
1/15/15 9:22:55 PM CST,,,1,1,,,
1/15/15 9:30:40 PM CST,,,0,0,,,
1/16/15 1:04:31 AM CST,,,,,,,1
1/16/15 3:26:02 AM CST,,,,,,,0
1/16/15 9:21:27 AM CST,,,,,1,1,
1/16/15 9:34:32 AM CST,,,,,0,0,
1/16/15 10:26:22 AM CST,,,,,1,1,
1/16/15 10:45:57 AM CST,,,,,0,0,
1/16/15 11:36:59 AM CST,,,,,1,1,
1/16/15 12:00:08 PM CST,,,,,0,0,
1/16/15 12:50:18 PM CST,,,,,1,1,
1/16/15 1:16:33 PM CST,,,,,0,0,
1/16/15 2:10:53 PM CST,,,,,1,1,
1/16/15 2:43:27 PM CST,,,,,0,0,
1/16/15 3:29:37 PM CST,,,,,1,1,
1/16/15 3:57:57 PM CST,,,,,0,0,
1/16/15 4:44:47 PM CST,,,,,1,,
1/16/15 4:44:48 PM CST,,,,,,1,
1/16/15 5:10:27 PM CST,,,,,0,0,
1/16/15 6:06:08 PM CST,,,,,1,1,
1/16/15 6:24:48 PM CST,,,,,0,0,
1/16/15 7:37:13 PM CST,,,,,1,1,
1/16/15 7:48:33 PM CST,,,,,0,0,
1/16/15 8:06:23 PM CST,,,,,1,1,
1/16/15 8:21:04 PM CST,,,,,0,0,
1/16/15 9:30:34 PM CST,,,,,1,1,
1/16/15 9:40:53 PM CST,,,,,0,0,
1/17/15 7:15:39 AM CST,,,1,1,,,
1/17/15 7:16:33 AM CST,,,0,0,,,
1/17/15 9:22:25 AM CST,,,,,,,1
1/17/15 12:12:33 PM CST,,,,,,,0
1/17/15 1:25:52 PM CST,,,1,1,,,
1/17/15 1:43:07 PM CST,,,0,0,,,
1/17/15 2:42:33 PM CST,,,1,1,,,
1/17/15 3:05:28 PM CST,,,0,0,,,
1/17/15 4:07:28 PM CST,,,1,1,,,
1/17/15 4:15:43 PM CST,,,0,0,,,
1/17/15 4:29:29 PM CST,,,1,1,,,
1/17/15 4:37:23 PM CST,,,0,0,,,
1/17/15 5:25:12 PM CST,,,1,1,,,
1/17/15 5:36:32 PM CST,,,0,0,,,
1/17/15 6:31:08 PM CST,,,1,1,,,
1/17/15 6:40:53 PM CST,,,0,0,,,
1/17/15 10:20:42 PM CST,,,,,,,1
1/18/15 7:32:10 AM CST,,,,,,,0
1/18/15 10:20:38 PM CST,,,,,,,1
1/18/15 11:00:39 PM CST,,,,,,,0
1/19/15 4:10:04 AM CST,,,,,,,1
1/19/15 7:32:12 AM CST,,,,,,,0
1/19/15 10:27:00 AM CST,,,1,1,,,
1/19/15 10:41:50 AM CST,,,0,0,,,
1/19/15 11:32:35 AM CST,,,1,1,,,
1/19/15 11:51:00 AM CST,,,0,0,,,
1/19/15 12:41:45 PM CST,,,1,1,,,
1/19/15 1:02:00 PM CST,,,0,0,,,
1/19/15 1:54:42 PM CST,,,1,1,,,
1/19/15 2:19:00 PM CST,,,0,0,,,
1/19/15 3:06:11 PM CST,,,1,1,,,
1/19/15 3:31:00 PM CST,,,0,0,,,
1/19/15 4:16:51 PM CST,,,1,1,,,
1/19/15 4:38:07 PM CST,,,0,0,,,
1/19/15 5:27:07 PM CST,,,1,1,,,
1/19/15 5:46:43 PM CST,,,0,0,,,
1/19/15 6:57:18 PM CST,,,1,1,,,
1/19/15 7:05:53 PM CST,,,0,0,,,
1/19/15 8:10:44 PM CST,,,1,1,,,
1/19/15 8:20:24 PM CST,,,0,0,,,
1/19/15 9:10:10 PM CST,,,1,1,,,
1/19/15 9:17:46 PM CST,,,0,0,,,
1/19/15 10:20:44 PM CST,,,,,,,1
1/20/15 5:16:30 AM CST,,,,,,,0
1/20/15 10:29:28 AM CST,,,,,1,1,
1/20/15 10:38:07 AM CST,,,,,0,0,
1/20/15 11:29:03 AM CST,,,,,1,1,
1/20/15 11:37:53 AM CST,,,,,0,0,
1/20/15 11:57:55 AM CST,,,,,1,1,
1/20/15 12:13:00 PM CST,,,,,0,0,
1/20/15 1:10:32 PM CST,,,,,1,1,
1/20/15 1:31:57 PM CST,,,,,0,0,
1/20/15 2:26:01 PM CST,,,,,1,1,
1/20/15 2:44:25 PM CST,,,,,0,0,
1/20/15 3:39:08 PM CST,,,,,1,1,
1/20/15 4:02:34 PM CST,,,,,0,0,
1/20/15 4:56:21 PM CST,,,,,1,1,
1/20/15 5:15:12 PM CST,,,,,0,0,
1/20/15 6:37:23 PM CST,,,,,1,1,
1/20/15 6:48:23 PM CST,,,,,0,0,
1/20/15 7:40:39 PM CST,,,,,1,1,
1/20/15 7:49:32 PM CST,,,,,0,0,
1/20/15 8:42:44 PM CST,,,,,1,1,
1/20/15 8:52:23 PM CST,,,,,0,0,
1/20/15 9:49:11 PM CST,,,,,1,1,
1/20/15 9:57:35 PM CST,,,,,0,0,
1/20/15 10:20:39 PM CST,,,,,,,1
1/21/15 7:32:10 AM CST,,,,,,,0
1/21/15 10:24:35 AM CST,,,1,1,,,
1/21/15 10:34:44 AM CST,,,0,0,,,
1/21/15 10:52:30 AM CST,,,1,1,,,
1/21/15 11:00:36 AM CST,,,0,0,,,
1/21/15 11:38:40 AM CST,,,1,1,,,
1/21/15 11:50:00 AM CST,,,0,0,,,
1/21/15 12:03:45 PM CST,,,1,1,,,
1/21/15 12:33:46 PM CST,,,0,0,,,
1/21/15 1:22:56 PM CST,,,1,1,,,
1/21/15 1:55:56 PM CST,,,0,0,,,
1/21/15 2:16:24 PM CST,,,,,,,1
1/21/15 4:06:55 PM CST,,,,,,,0
1/21/15 4:12:08 PM CST,,,,,1,1,
1/21/15 4:34:19 PM CST,,,,,0,0,
1/21/15 5:21:50 PM CST,,,,,1,1,
1/21/15 5:48:40 PM CST,,,,,0,0,
1/21/15 6:46:25 PM CST,,,,,1,1,
1/21/15 7:09:05 PM CST,,,,,0,0,
1/21/15 8:08:00 PM CST,,,,,1,1,
1/21/15 8:30:40 PM CST,,,,,0,0,
1/21/15 9:34:31 PM CST,,,,,1,1,
1/21/15 9:48:21 PM CST,,,,,0,0,
1/21/15 10:20:43 PM CST,,,,,,,1
1/22/15 7:32:10 AM CST,,,,,,,0
1/22/15 9:22:24 AM CST,,,1,1,,,
1/22/15 9:32:04 AM CST,,,0,0,,,
1/22/15 10:22:54 AM CST,,,1,1,,,
1/22/15 10:43:44 AM CST,,,0,0,,,
1/22/15 11:33:09 AM CST,,,1,1,,,
1/22/15 12:00:45 PM CST,,,0,0,,,
1/22/15 12:49:40 PM CST,,,1,1,,,
1/22/15 1:12:11 PM CST,,,0,0,,,
1/22/15 1:22:46 PM CST,,,1,1,,,
1/22/15 1:31:06 PM CST,,,0,0,,,
1/22/15 2:13:07 PM CST,,,1,1,,,
1/22/15 2:38:57 PM CST,,,0,0,,,
1/22/15 2:51:58 PM CST,,,1,1,,,
1/22/15 2:59:41 PM CST,,,0,0,,,
1/22/15 3:43:49 PM CST,,,1,1,,,
1/22/15 4:06:39 PM CST,,,0,0,,,
1/22/15 4:20:05 PM CST,,,1,1,,,
1/22/15 4:28:25 PM CST,,,0,0,,,
1/22/15 5:15:51 PM CST,,,1,1,,,
1/22/15 5:40:35 PM CST,,,0,0,,,
1/22/15 6:35:11 PM CST,,,1,1,,,
1/22/15 6:53:16 PM CST,,,0,0,,,
1/22/15 7:54:53 PM CST,,,1,1,,,
1/22/15 8:11:57 PM CST,,,0,0,,,
1/22/15 9:39:05 PM CST,,,1,1,,,
1/22/15 9:46:45 PM CST,,,0,0,,,
1/22/15 10:20:41 PM CST,,,,,,,1
1/23/15 7:32:09 AM CST,,,,,,,0
1/23/15 9:23:57 AM CST,,,,,1,1,
1/23/15 9:31:57 AM CST,,,,,0,0,
1/23/15 10:20:08 AM CST,,,,,1,1,
1/23/15 10:37:43 AM CST,,,,,0,0,
1/23/15 11:30:53 AM CST,,,,,1,1,
1/23/15 11:57:29 AM CST,,,,,0,0,
1/23/15 12:47:23 PM CST,,,,,1,,
1/23/15 12:47:24 PM CST,,,,,,1,
1/23/15 1:16:33 PM CST,,,,,0,0,
1/23/15 2:03:19 PM CST,,,,,1,1,
1/23/15 2:32:44 PM CST,,,,,0,0,
1/23/15 3:16:24 PM CST,,,,,1,1,
1/23/15 3:41:04 PM CST,,,,,0,0,
1/23/15 4:26:53 PM CST,,,,,1,1,
1/23/15 4:49:23 PM CST,,,,,0,0,
1/23/15 5:40:58 PM CST,,,,,1,1,
1/23/15 5:57:48 PM CST,,,,,0,0,
1/23/15 7:09:44 PM CST,,,,,1,1,
1/23/15 7:17:54 PM CST,,,,,0,0,
1/23/15 8:01:39 PM CST,,,,,1,1,
1/23/15 8:10:35 PM CST,,,,,0,0,
1/23/15 8:59:53 PM CST,,,,,1,1,
1/23/15 9:09:38 PM CST,,,,,0,0,
1/23/15 10:00:42 PM CST,,,,,1,1,
1/23/15 10:09:37 PM CST,,,,,0,0,
1/23/15 10:22:14 PM CST,,,,,,,1
1/24/15 7:32:09 AM CST,,,,,,,0
1/24/15 10:53:31 AM CST,,,1,1,,,
1/24/15 11:04:16 AM CST,,,0,0,,,
1/24/15 11:57:21 AM CST,,,1,1,,,
1/24/15 12:08:40 PM CST,,,0,0,,,
1/24/15 12:53:05 PM CST,,,1,1,,,
1/24/15 1:06:35 PM CST,,,0,0,,,
1/24/15 1:48:56 PM CST,,,1,1,,,
1/24/15 2:01:07 PM CST,,,0,0,,,
1/24/15 2:44:57 PM CST,,,1,1,,,
1/24/15 2:56:39 PM CST,,,0,0,,,
1/24/15 3:38:23 PM CST,,,1,1,,,
1/24/15 3:50:18 PM CST,,,0,0,,,
1/24/15 4:33:53 PM CST,,,1,1,,,
1/24/15 4:45:18 PM CST,,,0,0,,,
1/24/15 5:21:53 PM CST,,,1,1,,,
1/24/15 5:33:33 PM CST,,,0,0,,,
1/24/15 6:16:13 PM CST,,,1,1,,,
1/24/15 6:27:38 PM CST,,,0,0,,,
1/24/15 10:20:46 PM CST,,,,,,,1
1/25/15 7:32:08 AM CST,,,,,,,0
1/25/15 5:03:59 PM CST,,,,,1,1,
1/25/15 5:14:14 PM CST,,,,,0,0,
1/25/15 10:20:44 PM CST,,,,,,,1
1/26/15 7:32:12 AM CST,,,,,,,0
1/26/15 9:05:45 AM CST,,,,,1,1,
1/26/15 9:17:35 AM CST,,,,,0,0,
1/26/15 9:50:32 AM CST,,,,,1,1,
1/26/15 10:28:42 AM CST,,,,,0,0,
1/26/15 11:05:13 AM CST,,,,,1,1,
1/26/15 11:57:18 AM CST,,,,,0,0,
1/26/15 12:32:48 PM CST,,,,,1,1,
1/26/15 1:24:23 PM CST,,,,,0,0,
1/26/15 2:00:23 PM CST,,,,,1,1,
1/26/15 2:53:48 PM CST,,,,,0,0,
1/26/15 3:29:38 PM CST,,,,,1,1,
1/26/15 4:07:07 PM CST,,,,,0,0,
1/26/15 4:40:16 PM CST,,,,,1,1,
1/26/15 5:24:17 PM CST,,,,,0,0,
1/26/15 6:06:37 PM CST,,,,,1,1,
1/26/15 6:39:07 PM CST,,,,,0,0,
1/26/15 7:28:23 PM CST,,,,,1,1,
1/26/15 8:00:43 PM CST,,,,,0,0,
1/26/15 8:52:33 PM CST,,,,,1,1,
1/26/15 9:22:28 PM CST,,,,,0,0,
1/26/15 10:13:28 PM CST,,,,,1,1,
1/26/15 10:20:40 PM CST,,,,,,,1
1/26/15 10:35:23 PM CST,,,,,0,0,
1/27/15 7:32:11 AM CST,,,,,,,0
1/27/15 9:08:10 AM CST,,,1,1,,,
1/27/15 9:21:19 AM CST,,,0,0,,,
1/27/15 9:53:06 AM CST,,,1,1,,,
1/27/15 10:07:26 AM CST,,,0,0,,,
1/27/15 10:18:16 AM CST,,,1,1,,,
1/27/15 10:44:56 AM CST,,,0,0,,,
1/27/15 11:25:52 AM CST,,,1,1,,,
1/27/15 12:07:04 PM CST,,,0,0,,,
1/27/15 12:48:19 PM CST,,,1,1,,,
1/27/15 1:23:53 PM CST,,,0,0,,,
1/27/15 2:07:04 PM CST,,,1,1,,,
1/27/15 2:45:59 PM CST,,,0,0,,,
1/27/15 3:22:05 PM CST,,,1,1,,,
1/27/15 4:04:55 PM CST,,,0,0,,,
1/27/15 4:42:01 PM CST,,,1,1,,,
1/27/15 5:14:36 PM CST,,,0,0,,,
1/27/15 5:49:01 PM CST,,,1,1,,,
1/27/15 6:22:01 PM CST,,,0,0,,,
1/27/15 7:05:46 PM CST,,,,1,,,
1/27/15 7:05:47 PM CST,,,1,,,,
1/27/15 7:40:02 PM CST,,,0,0,,,
1/27/15 8:29:42 PM CST,,,1,1,,,
1/27/15 8:53:22 PM CST,,,0,0,,,
1/27/15 9:35:32 PM CST,,,1,1,,,
1/27/15 9:50:17 PM CST,,,0,0,,,
1/27/15 10:02:38 PM CST,,,1,1,,,
1/27/15 10:16:57 PM CST,,,0,0,,,
1/27/15 10:20:46 PM CST,,,,,,,1
1/28/15 7:32:11 AM CST,,,,,,,0
1/28/15 10:22:43 AM CST,,,,,1,1,
1/28/15 10:34:08 AM CST,,,,,0,0,
1/28/15 11:09:03 AM CST,,,,,1,1,
1/28/15 11:35:23 AM CST,,,,,0,0,
1/28/15 12:31:58 PM CST,,,,,1,1,
1/28/15 12:57:43 PM CST,,,,,0,0,
1/28/15 1:55:04 PM CST,,,,,1,1,
1/28/15 2:16:39 PM CST,,,,,0,0,
1/28/15 3:12:05 PM CST,,,,,1,1,
1/28/15 3:34:55 PM CST,,,,,0,0,
1/28/15 4:29:06 PM CST,,,,,1,1,
1/28/15 4:49:35 PM CST,,,,,0,0,
1/28/15 6:08:36 PM CST,,,,,1,1,
1/28/15 6:17:11 PM CST,,,,,0,0,
